Designator,Footprint,Quantity,Value,LCSC Part #
AE1,SMA_Amphenol_132289_EdgeMount,1,Antenna_Shield,
AE2,PinHeader_1x02_P2.54mm_Vertical,1,Antenna_Loop,
C1,0603,1,10uF,
C10,0603,1,0.47uF,
C11,0603,1,33pF,
"C12, C20",0603,2,100nF,
C14,0603,1,18pF,
C19,0603,1,22nF,
"C2, C7",0603,2,0.1uF,
"C3, C4",0603,2,22pF,
"C5, C6",0603,2,1uF,
"C8, C9",0603,2,0.39uF,
D1,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N5819,
"D2, D3, D4, D7, D8, D9",D_SOD-123F,6,1N4148WT,
"D5, D6",SOT-23,2,CM1213A-01SO,
FB1,0805,1,2.5K,
FB2,0805,1,1k,
J1,Jack_3.5mm_CUI_SJ1-3523N_Horizontal,1,Headset,
J2,MODULE_DM-OLED096-636,1,OLED,
J3,Jack_3.5mm_CUI_SJ1-3523N_Horizontal,1,Speaker,
J4,PinHeader_1x02_P2.54mm_Vertical,1,Battery Connection,
J5,PinHeader_1x01_P2.54mm_Vertical,1,Conn_01x01_Socket,
L2,0603,1,180nH,
L3,0603,1,4.7uH,
"R1, R2",0603,2,100,
"R3, R5",0603,2,100k,
"R4, R6, R8, R9",0603,4,20k,
SW1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_MountingHoles,1,EC11 Encoder/SW,
"SW2, SW3, SW4, SW5, SW6, SW7",SW_FSM8JH,6,SW_Push,
U1,SSOP-24_3.9x8.7mm_P0.635mm,1,Si4735-D60-GU,
U2,MODULE_RP2040-ZERO,1,RP2040-ZERO,
U3,DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm,1,PAM8302AAY,
U4,SOP65P490X110-8N,1,LM4910MM,
U5,SOT65P215X110-6N,1,PE4259,
Y1,Crystal_SMD_0603-2Pin_6.0x3.5mm_HandSoldering,1,32.768 kHz,
